"State or
federal district",Location,Coordinates
Alabama,12.1 mi (19.5 km) southwest of Clanton,32°46′46″N 86°49′43″W﻿ / ﻿32.7794°N 86.8287°W
Alaska,77.9 mi (125.4 km) northwest of Denali,64°04′07″N 152°16′42″W﻿ / ﻿64.0685°N 152.2782°W
Arizona,49.7 mi (80.0 km) east-southeast of Prescott,34°16′28″N 111°39′37″W﻿ / ﻿34.2744°N 111.6602°W
Arkansas,14.2 mi (22.9 km) northwest of Little Rock,34°53′38″N 92°26′33″W﻿ / ﻿34.8938°N 92.4426°W
California,36 mi (58 km) northeast of Madera,37°11′03″N 119°28′11″W﻿ / ﻿37.1841°N 119.4696°W
Colorado,29.2 mi (47.0 km) northwest of Pikes Peak,38°59′50″N 105°32′52″W﻿ / ﻿38.9972°N 105.5478°W
Connecticut,1.1 mi (1.8 km) east of East Berlin,41°37′19″N 72°43′38″W﻿ / ﻿41.6219°N 72.7273°W
Delaware,11.7 mi (18.8 km) south of Dover,38°59′23″N 75°30′18″W﻿ / ﻿38.9896°N 75.5050°W
District of Columbia,"Near 3rd and P Streets, Northwest",38°54′36″N 77°00′53″W﻿ / ﻿38.9101°N 77.0147°W
Florida,5.8 mi (9.3 km) northwest of Brooksville,28°37′50″N 82°26′59″W﻿ / ﻿28.6305°N 82.4497°W
Georgia,17.7 mi (28.5 km) southeast of Macon,32°38′29″N 83°26′33″W﻿ / ﻿32.6415°N 83.4426°W
Hawaii,27.7 mi (44.6 km) off-shore south of Wailea-Makena,20°17′34″N 156°22′25″W﻿ / ﻿20.2927°N 156.3737°W
Idaho,21.4 mi (34.4 km) west-southwest of Challis,44°21′03″N 114°36′47″W﻿ / ﻿44.3509°N 114.6130°W
Illinois,28.8 mi (46.3 km) northeast of Springfield,40°02′30″N 89°11′47″W﻿ / ﻿40.0417°N 89.1965°W
Indiana,10.8 mi (17.4 km) northwest of Indianapolis,39°53′39″N 86°16′54″W﻿ / ﻿39.8942°N 86.2816°W
Iowa,7 mi (11 km) northeast of Ames,42°04′30″N 93°29′46″W﻿ / ﻿42.0751°N 93.4960°W
Kansas,2.1 mi (3.4 km) southeast of Bushton Bend,38°29′37″N 98°22′49″W﻿ / ﻿38.4937°N 98.3804°W
Kentucky,3.4 mi (5.5 km) southwest of Lebanon,37°32′05″N 85°18′08″W﻿ / ﻿37.5347°N 85.3021°W
Louisiana,5.8 mi (9.3 km) southeast of Marksville,31°04′08″N 91°59′48″W﻿ / ﻿31.0689°N 91.9968°W
Maine,12.6 mi (20.3 km) north of Dover-Foxcroft,45°22′10″N 69°14′34″W﻿ / ﻿45.3695°N 69.2428°W
Maryland,3.3 mi (5.3 km) north of Bowie,39°03′18″N 76°47′27″W﻿ / ﻿39.0550°N 76.7909°W
Massachusetts,"Irving St. and Wellington St., Worcester",42°15′35″N 71°48′30″W﻿ / ﻿42.2596°N 71.8083°W
Michigan,6.6 mi (10.6 km) west of Cadillac,44°20′48″N 85°24′37″W﻿ / ﻿44.3467°N 85.4102°W
Minnesota,10 mi (16 km) southwest of Brainerd,46°16′51″N 94°18′19″W﻿ / ﻿46.2807°N 94.3053°W
Mississippi,7.7 mi (12.4 km) west-northwest of Carthage,32°44′11″N 89°40′04″W﻿ / ﻿32.7364°N 89.6678°W
Missouri,21 mi (34 km) southwest of Jefferson City,38°21′24″N 92°27′29″W﻿ / ﻿38.3566°N 92.4580°W
Montana,10.1 mi (16.3 km) west of Lewistown,47°03′10″N 109°38′00″W﻿ / ﻿47.0527°N 109.6333°W
Nebraska,12.3 mi (19.8 km) northwest of Broken Bow,41°32′16″N 99°47′42″W﻿ / ﻿41.5378°N 99.7951°W
Nevada,26 mi (42 km) southeast of Austin,39°19′44″N 116°37′52″W﻿ / ﻿39.3289°N 116.6312°W
New Hampshire,2.6 mi (4.2 km) east of Ashland,43°40′50″N 71°34′52″W﻿ / ﻿43.6805°N 71.5811°W
New Jersey,4.3 mi (6.9 km) southeast of Trenton,40°11′27″N 74°40′22″W﻿ / ﻿40.1907°N 74.6728°W
New Mexico,13.8 mi (22.2 km) south-southwest of Willard,34°24′26″N 106°06′45″W﻿ / ﻿34.4071°N 106.1126°W
New York,11.5 mi (18.5 km) south-southeast of Oneida,42°57′14″N 75°31′36″W﻿ / ﻿42.9538°N 75.5268°W
