School,City,Start Term,lat,lon
"Case Western Reserve University, DC","Case Western, DC",Summer,38.90928675,-77.04435813
"Case Western Reserve University, OH","Case Western, OH",Summer,41.50456625,-81.60802975
"Case Western Reserve University, TX","Case Western, Austin, TX",Summer,30.36774294,-97.74448935
"Case Western Reserve University, TX","Case Western, TX",Summer,29.7352158,-95.39061672
"Emory University, GA","Emory, GA",Fall,33.79727051,-84.32185377
"Indiana University of Medicine, IN",Indiana University,Fall,39.87226237,-86.1349592
"Medical College of Wisconsin, WI",Medical College Wisconsin,Fall,43.04377719556754,-88.020805751884
"NEOMED, OH",NEOMED,Spring,41.10409637,-81.24376717
"Nova Southeastern University (Denver), CO","NOVA, Centennial,CO",Spring,39.59138914,-104.8874976
"Nova Southeastern University (Fort Lauderdale), FL","NOVA, Fort Lauderdale, FL",Summer,26.07853362,-80.24575042
"Nova Southeastern University (Jacksonville), FL","NOVA, Jackonsville Fl",Summer,30.25779607,-81.59829593
"Nova Southeastern University (Tampa), FL",Nova Clearwater,Summer,27.96271616,-82.69795132
"Ohio Dominican University, OH","Ohio Dominican, OH",Spring,39.99394169,-82.93996785
"South University (Orlando), FL","Orlando, FL",Spring,28.47080596,-81.4047213
"South University (West Palm Beach), FL","South University, Royal Palm",Fall,26.69223904,-80.2000818
"South University, GA","South University, GA",Summer,31.99912566,-81.10503588
"University of Colorado (MCAT Only), CO",University of Colorado,Fall,39.74666409,-104.9994532
"University of Missouri KC, MO","Kansas City, MO",Spring,39.03428138,-94.58352522
"VCOM-Bluefield, AL","Auburn, Alabama",Summer,32.58927789,-85.49115127
"Nova Southeastern Orlando, FL","Orlando, FL",Fall,28.48176757,-81.44169269
"University of New Mexico, NM","Albuquerque, NM",Fall,35.08437687,-106.6201634
"UTHealth Houston","Houston, TX",Fall,29.714283274672677,-95.39773133684349
"Saint Louis University",“St. Louis, MO”,Summer,38.63588137468709,-90.23408456886852
