State,Practice
Alabama,Full Practice
Alaska,Veteran Affairs
Arizona,Veteran Affairs
Arkansas,Veteran Affairs
California,Veteran Affairs
Colorado,Full Practice
Connecticut,Veteran Affairs
Delaware,Veteran Affairs
District of Columbia,Full Practice
Florida,Full Practice
Georgia,Full Practice
Hawaii,Veteran Affairs
Idaho,Veteran Affairs
Illinois,Veteran Affairs
Indiana,Full Practice
Iowa,Veteran Affairs
Kansas,Delegatory
Kentucky,Full Practice
Louisiana,Veteran Affairs
Maine,Veteran Affairs
Montana,Veteran Affairs
Nebraska,Veteran Affairs
Nevada,Full Practice
New Hampshire,Veteran Affairs
New Jersey,Veteran Affairs
New Mexico,Full Practice
New York,Veteran Affairs
North Carolina,Full Practice
North Dakota,Veteran Affairs
Ohio,Full Practice
Oklahoma,Full Practice
Oregon,Veteran Affairs
Maryland,Veteran Affairs
Massachusetts,Veteran Affairs
Michigan,Delegatory
Minnesota,Veteran Affairs
Mississippi,Veteran Affairs
Missouri,Full Practice
Pennsylvania,Delegatory
Rhode Island,Veteran Affairs
South Carolina,Full Practice
South Dakota,Veteran Affairs
Tennessee,Veteran Affairs
Texas,Delegatory
Utah,Full Practice
Vermont,Full Practice
Virginia,Veteran Affairs
Washington,Veteran Affairs
West Virginia,Veteran Affairs
Wisconsin,Full Practice
Wyoming,Veteran Affairs
Guam,Delegatory
